id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
264,4.75,1.82,1988,2345,358,Car,2,403.55,26.89,29.63,28.27,9.61,0.32,2.42,1
265,4.65,2.02,2003,2343,341,Car,1,409.88,29.50,31.41,30.15,97.35,3.29,276.57,0
266,4.55,1.92,2005,2416,412,Car,2,411.12,24.55,26.02,25.02,48.50,1.91,42.47,0
267,4.65,2.02,2010,2368,359,Car,2,410.68,26.06,30.70,28.69,15.97,0.53,15.73,0
268,5.05,2.32,2018,2370,353,Car,1,410.28,28.69,30.11,29.15,12.66,0.43,-1.00,0
269,4.04,1.82,2026,2430,405,Car,1,409.91,24.99,26.06,25.38,43.35,1.71,33.43,0
270,4.55,1.92,2049,2401,353,Car,1,409.71,28.18,30.11,29.11,31.28,1.09,110.46,0
271,4.04,1.82,2051,2406,356,Car,2,410.82,28.65,29.50,28.95,35.51,1.21,13.10,1
272,4.35,1.92,2051,2428,378,Car,1,409.82,25.76,28.44,27.19,20.83,0.73,9.14,1
273,4.95,2.12,2068,2467,400,Car,2,410.17,23.68,26.83,25.71,49.87,1.88,44.67,0
274,4.95,1.92,2075,2404,330,Car,2,410.16,27.55,32.40,31.19,23.04,0.83,12.31,0
275,4.65,2.12,2078,2426,349,Car,1,408.39,28.51,30.55,29.35,25.44,0.85,39.41,0
276,4.65,1.82,2087,2468,382,Car,1,410.75,26.33,27.56,26.97,35.57,1.33,22.97,0
277,16.67,2.50,2088,2487,400,Truck,2,387.71,23.39,25.26,24.30,23.15,0.92,-1.00,1
278,4.65,1.92,2110,2480,371,Car,1,411.00,27.16,28.82,27.78,33.78,1.23,-1.00,0
279,4.55,1.82,2113,2490,378,Car,2,404.32,23.22,31.36,26.82,7.23,0.24,2.36,1
280,4.65,1.92,2121,2460,340,Car,2,410.48,27.46,33.12,30.29,46.06,1.67,-1.00,0
281,8.49,2.50,2124,2542,419,Truck,1,409.40,23.84,25.56,24.49,73.58,2.88,-1.00,0
282,4.35,1.92,2136,2505,370,Car,1,410.94,25.61,28.67,27.86,23.87,0.87,16.25,1
283,4.14,1.72,2136,2507,372,Car,2,405.09,23.64,31.04,27.31,8.32,0.29,7.05,1
284,4.35,1.82,2138,2481,344,Car,2,410.40,27.50,32.49,29.93,14.56,0.53,-1.00,0
285,16.67,2.50,2141,2559,419,Truck,2,407.38,23.48,25.37,24.38,34.88,1.40,-1.00,0
286,4.55,2.02,2154,2580,427,Car,1,409.62,22.54,25.63,24.05,24.14,0.99,1500.50,1
287,4.45,1.92,2169,2538,370,Car,1,411.44,23.67,31.06,27.89,29.83,1.26,43.18,0
288,5.56,2.02,2172,2540,369,Car,2,402.67,26.26,29.38,27.37,23.76,0.88,56.08,0
289,4.35,1.82,2194,2567,374,Car,1,411.40,23.79,31.03,27.58,19.42,0.81,-1.00,0
290,4.85,1.92,2196,2566,371,Car,2,409.22,26.31,30.25,27.68,16.96,0.61,16.74,0
291,4.45,1.92,2199,2581,383,Car,1,410.09,24.71,29.01,26.85,40.42,1.56,28.79,0
292,4.75,1.92,2215,2632,418,Car,2,410.55,23.50,26.22,24.62,67.78,2.76,305.76,0
293,4.75,1.92,2219,2591,373,Car,1,403.51,23.55,29.29,27.13,19.13,0.81,-1.00,0
294,4.65,1.92,2227,2634,408,Car,1,410.19,22.86,27.88,25.21,23.54,1.03,-1.00,0
295,4.55,1.82,2231,2599,369,Car,2,404.00,26.79,28.59,27.46,32.96,1.22,68.61,0
296,4.65,1.92,2239,2633,395,Car,1,410.44,23.21,29.96,26.06,14.48,0.62,-1.00,0
297,4.35,1.72,2243,2611,369,Car,2,409.22,26.91,28.40,27.81,99.33,3.68,37.14,0
298,16.07,2.50,2244,2669,426,Truck,1,408.71,23.25,24.68,24.05,66.91,2.84,59.24,0
299,3.74,1.82,2245,2669,425,Car,2,411.17,22.90,25.38,24.25,25.46,1.07,81.07,0
300,5.05,2.02,2263,2658,396,Car,1,410.44,23.66,29.49,25.99,16.06,0.66,51.05,0
301,3.74,1.82,2266,2716,451,Car,1,410.58,22.17,23.80,22.82,32.07,1.44,-1.00,0
302,4.55,1.92,2275,2640,366,Car,2,410.51,27.41,29.37,28.13,36.98,1.27,41.66,0
303,4.65,1.92,2280,2701,422,Car,1,409.32,23.47,25.94,24.31,25.99,1.08,24.71,0
304,3.94,1.82,2294,2704,411,Car,1,410.33,23.74,27.56,25.02,25.10,1.04,141.57,0
305,4.35,1.92,2294,2744,451,Car,1,411.24,22.25,24.26,22.85,18.53,0.82,14.89,0
306,5.96,2.02,2302,2669,368,Car,2,409.98,26.42,29.23,27.94,58.41,2.12,88.05,0
307,4.85,1.92,2314,2770,457,Car,1,410.93,21.21,24.20,22.54,12.38,0.54,22.26,0
308,4.24,1.72,2317,2671,355,Car,2,411.17,27.72,30.24,29.06,32.60,1.08,37.09,0
309,18.90,2.50,2321,2726,406,Truck,2,408.62,24.36,26.34,25.24,39.60,1.52,37.17,0
310,4.75,2.12,2325,2748,424,Car,1,409.90,23.38,26.19,24.24,23.80,1.01,158.14,0
311,4.55,2.02,2353,2805,453,Car,1,410.70,20.87,24.29,22.72,29.45,1.21,31.19,0
312,5.05,2.02,2355,2699,345,Car,2,410.17,29.43,30.23,29.83,28.52,0.94,18.95,0
313,4.35,1.82,2355,2706,352,Car,2,411.36,27.54,30.38,29.31,39.20,1.31,21.34,0
314,4.85,1.92,2357,2786,430,Car,1,410.85,23.20,25.70,23.95,26.94,1.13,173.06,0
315,16.47,2.50,2383,2805,423,Truck,2,408.98,23.32,25.25,24.24,45.23,1.94,-1.00,0
316,4.14,1.92,2391,2823,433,Car,1,411.40,23.14,25.66,23.82,25.89,1.09,31.78,0
317,4.85,2.02,2392,2716,325,Car,2,409.80,29.69,32.33,31.64,16.17,0.51,10.38,0
318,16.78,2.50,2396,2813,418,Truck,1,408.03,23.59,25.32,24.47,89.78,3.72,71.68,0
319,4.14,1.82,2407,2758,352,Car,2,411.04,27.57,31.17,29.29,52.89,1.91,57.87,0
320,4.45,1.82,2414,2735,322,Car,2,410.36,29.85,33.14,31.97,19.65,0.62,27.57,0
321,3.94,1.92,2414,2853,440,Car,1,409.47,22.62,24.83,23.33,36.78,1.61,16.17,0
322,3.84,1.92,2418,2849,432,Car,1,410.64,23.01,25.11,23.82,19.30,0.82,19.49,0
323,4.04,1.72,2421,2773,353,Car,2,409.66,27.61,31.03,29.11,10.17,0.36,377.70,0
324,4.65,1.92,2438,2884,447,Car,1,410.93,21.92,24.63,23.04,17.78,0.77,21.81,0
325,4.65,1.92,2439,2766,328,Car,2,410.16,26.97,33.45,31.37,24.47,0.90,16.11,0
326,4.24,2.02,2444,2870,427,Car,1,409.39,23.33,24.97,24.03,45.26,1.81,373.54,0
327,5.05,2.02,2457,2797,341,Car,2,410.25,27.45,32.77,30.19,14.90,0.54,-1.00,0
328,4.35,1.92,2458,2888,431,Car,1,410.13,22.66,26.26,23.86,29.48,1.25,17.21,0
329,4.14,1.82,2476,2909,434,Car,1,410.16,21.98,26.69,23.69,11.65,0.48,12.24,0
330,4.65,1.92,2482,2922,441,Car,1,410.09,22.12,25.22,23.31,31.42,1.31,32.42,0
331,5.66,2.12,2503,2845,343,Car,2,408.68,27.40,31.88,29.89,85.68,2.76,388.34,0
332,4.75,1.92,2507,2828,322,Car,2,409.64,31.11,33.56,31.92,35.11,1.09,11.56,0
333,4.55,1.82,2510,2948,439,Car,1,409.87,22.84,24.41,23.40,62.39,2.55,2242.35,0
334,4.55,1.92,2513,2961,449,Car,1,409.74,21.59,24.60,22.87,26.46,1.08,119.96,0
335,4.55,2.02,2523,2962,440,Car,1,410.74,21.70,28.22,23.41,29.84,1.31,11.48,0
336,4.55,1.82,2527,2868,342,Car,2,410.16,27.97,32.13,30.09,23.55,0.79,68.08,0
337,4.14,1.72,2535,2988,454,Car,1,410.78,20.73,25.09,22.67,13.49,0.61,15.42,0
338,7.38,2.50,2556,2988,433,Truck,2,408.32,22.70,24.58,23.64,156.34,6.88,-1.00,0
339,4.65,2.02,2561,3004,444,Car,1,409.28,21.98,26.03,23.11,29.46,1.33,39.67,0
340,3.84,1.72,2564,2898,335,Car,2,411.01,28.37,32.80,30.78,34.66,1.06,82.97,0
341,4.35,1.92,2567,3011,445,Car,1,409.34,22.21,24.48,23.05,48.18,2.02,88.25,0
342,4.85,1.92,2568,3022,455,Car,1,410.00,20.90,25.58,22.59,22.05,1.03,24.68,0
343,4.24,1.72,2590,3049,460,Car,1,410.82,20.83,25.78,22.38,12.54,0.59,17.61,0
344,4.24,1.82,2604,3048,445,Car,1,410.87,22.64,24.93,23.14,36.72,1.59,51.01,0
345,4.55,1.92,2610,2895,286,Car,2,408.74,34.78,36.91,35.88,94.31,2.59,28.06,0
346,4.85,1.82,2628,3074,447,Car,1,410.29,22.62,24.68,23.01,18.13,0.76,72.34,0
347,4.75,2.02,2638,3081,444,Car,1,402.98,20.94,25.10,22.75,24.76,1.15,14.83,0
348,4.55,1.92,2660,2969,310,Car,2,409.98,31.50,34.61,33.19,92.48,2.72,63.42,0
349,4.75,1.92,2660,3113,454,Car,1,409.44,21.24,23.73,22.60,15.18,0.71,17.21,0
350,19.00,2.50,2673,3110,438,Truck,1,408.61,22.89,23.84,23.38,72.30,3.11,65.34,0
351,4.55,2.02,2689,3137,449,Car,1,410.95,22.47,23.95,22.94,50.57,2.21,58.31,0
352,4.75,1.92,2704,3156,453,Car,1,410.76,22.44,23.50,22.73,9.54,0.40,370.10,0
353,4.65,1.92,2707,3166,460,Car,1,409.77,21.66,23.94,22.33,29.12,1.21,118.01,0
354,4.24,1.92,2708,3182,475,Car,1,408.20,20.45,23.33,21.54,39.23,1.68,-1.00,0
355,4.55,1.82,2726,3210,485,Car,1,410.50,20.11,23.32,21.21,11.59,0.56,29.38,0
356,4.75,1.82,2739,3014,276,Car,2,410.52,36.13,37.82,37.34,63.42,1.67,19.15,0
357,4.85,1.92,2739,3187,449,Car,1,410.70,21.60,25.82,22.93,10.58,0.48,8.87,0
358,4.55,1.82,2745,3208,464,Car,2,411.47,21.46,22.95,22.23,172.74,8.04,-1.00,0
359,4.85,1.92,2753,3023,271,Car,2,411.10,36.56,39.19,38.09,193.78,5.07,147.56,0
360,5.05,1.92,2766,3199,434,Car,1,410.36,22.67,24.46,23.70,35.81,1.52,21.88,0
361,3.94,1.72,2767,3092,326,Car,2,409.83,31.18,32.72,31.54,35.24,1.11,-1.00,0
362,4.55,2.02,2783,3251,469,Car,1,410.94,19.82,23.65,21.96,25.90,1.25,13.57,0
363,4.35,1.82,2799,3061,263,Car,2,410.26,38.45,39.62,39.17,55.42,1.40,48.09,0
364,4.14,1.92,2800,3226,427,Car,1,410.66,23.17,25.48,24.11,20.10,0.85,18.02,0
365,2.83,1.72,2812,3270,459,Car,1,410.37,20.26,24.58,22.41,12.00,0.59,13.10,0
366,3.74,1.82,2843,3255,413,Car,1,410.99,22.62,27.10,24.95,21.44,0.89,9.61,0
367,4.55,1.92,2861,3297,437,Car,1,409.57,20.45,25.98,23.49,17.94,0.87,8.66,0
368,4.75,1.92,2870,3287,418,Car,1,410.66,23.19,25.83,24.63,22.26,0.93,17.65,0
369,5.66,2.32,2897,3336,440,Car,1,409.81,19.87,25.58,23.34,26.37,1.26,13.98,0
370,4.65,1.92,2908,3208,301,Car,2,409.26,32.72,36.17,34.13,159.18,4.62,77.83,1
371,4.85,1.92,2925,3350,426,Car,1,410.82,22.48,25.65,24.17,49.06,2.15,62.00,0
372,4.24,1.72,2933,3220,288,Car,2,411.59,33.65,37.60,35.88,29.25,0.86,26.88,0
373,4.95,2.02,2933,3336,404,Car,1,409.99,23.61,27.29,25.44,21.70,0.79,9.52,1
374,4.04,1.82,2946,3406,461,Car,1,410.20,20.75,23.99,22.30,16.84,0.70,90.58,0
375,16.47,2.50,2957,3374,418,Truck,2,408.27,23.73,25.64,24.49,46.53,1.94,78.06,1
376,4.04,1.82,2960,3284,325,Car,2,410.94,30.95,33.17,31.73,30.83,0.99,-1.00,1
377,3.64,1.72,2970,3315,346,Car,2,410.97,26.64,30.70,29.80,9.35,0.35,-1.00,1
378,4.35,1.82,2970,3412,443,Car,1,410.52,21.95,24.69,23.23,37.18,1.65,76.92,0
379,14.15,2.50,2979,3435,457,Truck,2,407.47,21.59,23.28,22.35,19.36,0.87,-1.00,0
380,6.27,2.43,2987,3416,430,Car,1,410.56,22.33,24.74,23.94,51.83,2.13,20.87,0
381,4.55,1.92,2987,3433,447,Car,1,410.50,21.88,24.34,23.02,7.45,0.31,9.99,1
382,4.55,1.92,3002,3307,306,Car,2,405.08,31.05,37.73,33.21,14.00,0.43,6.83,0
383,3.84,1.72,3012,3349,338,Car,2,404.06,26.94,32.11,29.98,22.42,0.79,9.64,2
384,3.74,1.82,3023,3452,430,Car,1,411.42,22.88,25.10,23.98,25.28,1.10,15.82,0
385,5.05,1.92,3026,3478,453,Car,2,409.73,21.86,23.66,22.67,35.81,1.52,88.30,0
386,4.24,1.82,3030,3369,340,Car,2,410.09,28.94,31.41,30.27,10.63,0.34,9.08,1
387,4.04,1.82,3035,3470,436,Car,1,410.53,22.04,25.91,23.60,52.21,2.36,28.05,0
388,4.65,2.02,3056,3470,415,Car,1,410.98,23.08,26.43,24.83,21.24,0.81,6.81,1
389,4.65,1.92,3083,3484,402,Car,1,410.82,23.95,27.97,25.63,23.06,0.84,7.81,0
390,4.85,2.02,3088,3514,427,Car,1,410.21,22.10,26.70,24.08,27.37,1.04,24.57,1
391,16.78,2.50,3105,3540,436,Truck,2,406.46,22.52,24.44,23.37,44.62,1.85,82.14,0
392,4.55,2.02,3112,3508,397,Car,1,410.54,24.45,28.80,25.94,17.27,0.70,8.92,0
393,4.75,2.02,3132,3532,401,Car,1,411.17,24.66,27.07,25.71,16.58,0.64,17.10,0
394,4.85,1.92,3134,3431,298,Car,2,409.14,33.33,35.69,34.46,105.62,3.01,34.92,0
395,15.87,2.50,3140,3600,461,Truck,1,406.37,21.49,22.76,22.09,36.98,1.62,-1.00,0
396,6.16,2.73,3142,3573,432,Truck,2,407.03,22.16,24.69,23.61,25.28,1.05,94.95,0
397,3.94,1.82,3144,3534,391,Car,1,411.60,25.53,28.82,26.40,55.55,2.16,15.25,0
398,4.24,1.92,3154,3546,393,Car,1,404.45,25.43,26.46,25.81,10.65,0.41,18.96,1
399,4.65,1.92,3177,3574,398,Car,1,411.03,25.43,26.09,25.89,16.98,0.65,51.26,0
400,5.05,2.12,3179,3477,299,Car,2,408.87,33.45,35.80,34.34,54.26,1.61,557.17,0
401,4.75,1.92,3181,3574,394,Car,1,410.54,25.86,26.76,26.12,19.33,0.74,23.25,0
402,4.14,1.87,3182,3607,426,Car,2,409.36,23.02,24.76,24.09,28.59,1.17,43.47,0
403,3.64,1.62,3194,3472,279,Car,2,409.91,34.31,39.40,36.89,156.18,4.16,25.69,0
404,4.95,1.92,3203,3597,395,Car,1,411.09,25.37,26.97,26.10,16.64,0.64,24.05,0
405,3.03,1.92,3211,3607,397,Car,1,411.20,25.43,26.41,25.97,29.80,1.14,46.24,0
406,4.85,1.92,3212,3546,335,Car,2,410.65,29.24,32.67,30.75,39.63,1.35,-1.00,0
407,16.67,2.50,3214,3674,461,Truck,1,406.98,21.12,22.45,22.12,47.56,2.18,72.29,0
408,7.07,2.50,3232,3626,395,Truck,1,408.55,24.96,26.51,25.93,11.83,0.45,30.60,0
409,16.67,2.50,3232,3653,422,Truck,2,406.33,22.83,25.67,24.14,27.29,1.19,48.06,0
410,4.45,2.02,3233,3627,395,Car,1,411.34,25.47,27.18,26.11,26.01,1.01,37.45,0
411,4.45,1.82,3241,3511,271,Car,2,409.35,36.44,40.14,37.94,56.46,1.45,50.35,0
412,4.85,2.22,3252,3724,473,Car,1,410.99,21.19,22.18,21.77,30.68,1.38,43.64,0
413,4.65,1.92,3259,3654,396,Car,1,408.99,25.38,26.23,25.89,23.83,0.91,54.85,0
414,3.94,1.82,3259,3658,400,Car,1,410.34,25.27,26.28,25.72,22.75,0.90,40.21,0
415,4.65,1.92,3283,3681,399,Car,1,411.30,25.47,26.29,25.85,22.18,0.85,40.22,0
416,4.45,1.92,3292,3698,407,Car,1,410.84,24.86,25.56,25.31,29.14,1.17,154.37,0
417,4.95,2.02,3307,3717,411,Car,1,410.83,23.59,26.21,25.06,9.70,0.40,23.57,0
418,4.85,1.92,3318,3586,269,Car,2,409.79,37.11,40.18,38.26,108.12,2.91,-1.00,0
419,6.27,2.32,3320,3735,416,Car,1,409.93,24.09,25.23,24.70,30.92,1.24,-1.00,0
420,3.74,1.82,3328,3635,308,Car,2,408.37,31.85,35.12,33.27,119.30,3.53,74.78,0
421,4.55,2.02,3328,3741,414,Car,1,404.11,23.05,26.07,24.47,14.85,0.63,30.82,0
422,8.19,2.32,3368,3784,417,Car,1,409.26,23.55,26.42,24.60,18.70,0.78,8.64,0
423,4.95,2.02,3380,3806,427,Car,1,411.03,22.20,27.78,24.13,7.32,0.28,6.23,0
424,6.67,2.43,3393,3815,423,Car,1,409.11,23.76,25.05,24.24,62.87,2.55,72.55,0
425,4.95,2.02,3400,3670,271,Car,2,408.22,35.44,39.88,37.82,115.66,3.26,-1.00,0
426,4.95,2.02,3406,3842,437,Car,1,410.40,22.04,27.03,23.54,17.83,0.78,25.88,0
427,4.14,2.02,3412,3820,409,Car,1,410.14,23.70,27.06,25.15,12.33,0.46,4.49,1
428,9.20,2.50,3416,3861,446,Truck,2,405.79,21.45,24.25,22.80,162.55,7.57,-1.00,0
429,4.35,1.82,3417,3742,326,Car,2,409.40,29.74,34.12,31.51,110.85,3.72,-1.00,0
430,4.55,1.92,3423,3864,442,Car,1,411.27,21.83,27.94,23.32,10.92,0.45,9.59,0
431,13.24,2.50,3433,3898,466,Truck,1,409.05,21.08,23.05,22.00,14.23,0.67,-1.00,0
432,3.94,1.72,3437,3747,311,Car,2,408.90,32.37,33.48,33.00,49.68,1.53,-1.00,0
433,2.93,1.82,3438,3841,404,Car,1,410.86,24.63,26.38,25.50,22.12,0.88,13.48,0
434,4.85,2.02,3448,3773,326,Car,2,408.91,30.51,32.94,31.48,31.00,0.99,49.37,0
435,4.45,1.82,3467,3778,312,Car,2,409.10,32.35,33.34,32.90,33.29,1.01,49.72,0
436,16.67,2.50,3477,3929,453,Truck,2,406.86,21.06,23.00,22.51,35.93,1.70,-1.00,0
437,4.55,2.02,3480,3888,409,Car,1,410.27,24.30,26.52,25.16,39.44,1.48,160.14,0
438,5.05,2.02,3485,3938,454,Car,1,410.88,21.01,28.43,22.68,33.47,1.43,9.71,0
439,4.14,1.92,3487,3883,397,Car,1,357.19,21.77,25.24,22.57,9.06,0.40,9.88,0
440,16.78,2.50,3501,3972,472,Truck,1,407.64,21.42,21.84,21.64,39.80,1.83,190.19,0
441,4.65,1.92,3507,3968,462,Car,1,410.73,20.01,27.86,22.28,18.44,0.74,24.46,0
442,4.24,1.92,3515,3934,420,Car,1,411.00,23.53,26.02,24.53,31.52,1.25,113.82,0
443,16.67,2.50,3517,3991,475,Truck,2,407.35,19.87,22.40,21.49,17.95,0.90,-1.00,0
444,4.35,1.82,3525,3859,335,Car,2,407.83,28.67,32.31,30.54,89.20,3.11,-1.00,0
445,4.85,2.02,3541,3998,458,Car,1,409.78,20.25,27.12,22.42,17.23,0.84,6.65,0
446,4.55,1.92,3548,4017,470,Car,2,407.92,20.30,22.92,21.76,19.09,0.83,39.45,0
447,4.85,2.02,3550,3962,413,Car,1,410.05,23.86,27.33,24.89,21.54,0.89,20.29,0
448,4.75,1.82,3561,3918,358,Car,2,408.17,27.75,29.61,28.60,36.88,1.33,-1.00,0
449,6.47,2.22,3566,3891,326,Car,2,406.56,29.60,33.37,31.29,120.85,4.08,-1.00,0
450,16.57,2.50,3574,4056,483,Truck,1,387.40,19.54,20.62,20.10,45.26,2.21,-1.00,0
451,4.95,2.02,3577,4037,461,Car,1,411.04,19.69,28.79,22.35,18.66,0.89,6.36,0
452,4.65,2.02,3580,3909,330,Car,2,408.89,29.29,32.88,31.08,14.50,0.49,119.14,0
453,4.04,1.82,3589,4036,448,Car,1,410.23,22.04,24.59,22.95,37.70,1.53,-1.00,0
454,4.35,1.92,3602,4108,507,Car,1,405.22,18.91,20.64,20.02,21.71,1.09,48.55,0
455,4.75,1.82,3624,3986,363,Car,2,409.53,26.75,30.17,28.29,66.07,2.47,-1.00,0
456,4.45,1.92,3624,4062,439,Car,1,407.71,21.71,26.47,23.28,15.68,0.70,8.90,2
457,4.65,1.92,3641,4163,523,Car,1,410.93,19.31,20.17,19.69,26.19,1.35,48.25,0
458,3.44,1.72,3647,4087,441,Car,1,411.01,21.15,28.85,23.33,17.24,0.71,9.70,0
459,4.45,2.02,3659,4183,525,Car,1,409.66,19.18,19.89,19.55,8.19,0.42,39.42,0
460,4.55,1.82,3661,4018,358,Car,2,410.15,28.15,29.73,28.74,30.98,1.07,34.55,0
461,6.06,2.32,3674,4116,443,Car,1,408.61,22.47,23.84,23.11,43.18,1.88,48.88,0
462,4.65,1.82,3680,4038,359,Car,2,408.55,27.01,29.62,28.54,15.20,0.56,34.31,0
463,4.95,1.92,3682,4024,343,Car,2,410.46,28.63,31.11,30.01,117.09,4.04,-1.00,0
464,4.35,1.92,3684,4157,474,Car,1,410.55,17.41,28.83,21.71,18.58,0.83,6.53,0
465,3.94,1.92,3694,4217,524,Car,1,409.45,18.64,20.38,19.58,22.65,1.14,30.60,0
466,4.45,1.82,3700,4047,348,Car,2,408.92,28.17,30.37,29.47,15.24,0.53,592.38,0
467,4.85,2.12,3709,4151,443,Car,1,410.46,22.59,23.89,23.23,26.02,1.13,44.17,0
468,5.05,1.92,3718,4070,353,Car,2,410.18,28.01,30.02,29.15,16.33,0.58,78.18,0
469,4.65,1.92,3728,4173,446,Car,1,410.36,20.36,27.99,23.06,9.98,0.47,4.38,0
470,4.75,1.92,3730,4254,525,Car,1,409.98,18.69,20.13,19.56,18.63,0.97,20.46,0
471,4.55,2.02,3732,4193,462,Car,1,409.97,21.33,23.33,22.24,17.55,0.75,-1.00,0
472,4.75,1.92,3736,4104,369,Car,2,408.82,27.41,28.77,27.79,56.33,2.03,-1.00,0
473,5.56,2.22,3738,4097,360,Car,2,408.06,27.43,29.11,28.42,14.28,0.49,39.58,0
474,7.78,2.50,3742,4147,406,Truck,2,395.95,23.65,25.60,24.45,134.04,5.41,73.91,0
475,4.75,1.82,3750,4210,461,Car,1,411.08,18.34,28.48,22.35,13.57,0.59,10.35,0
476,4.04,1.92,3757,4221,465,Car,1,410.90,21.11,22.94,22.14,17.87,0.82,71.20,0
477,4.75,1.92,3764,4124,361,Car,2,410.00,27.67,29.14,28.48,15.95,0.57,13.49,0
478,4.95,1.92,3765,4121,357,Car,2,409.49,27.72,29.70,28.77,21.61,0.77,21.63,0
479,4.24,2.02,3767,4300,534,Car,1,410.52,17.60,20.81,19.26,8.35,0.43,24.07,0
480,4.04,1.82,3770,4230,461,Car,1,410.93,18.63,27.18,22.34,10.34,0.55,8.89,0
481,4.55,1.92,3782,4137,356,Car,2,408.51,26.52,30.92,28.79,8.37,0.29,9.02,0
482,4.45,2.02,3787,4320,534,Car,1,411.18,18.05,20.79,19.29,9.73,0.52,8.42,0
483,4.75,1.92,3792,4255,464,Car,1,411.27,18.18,29.00,22.21,9.71,0.47,7.98,0
484,4.45,1.72,3793,4141,349,Car,2,409.61,27.85,30.32,29.43,14.75,0.52,9.67,0
485,4.65,1.82,3807,4271,465,Car,1,403.17,19.04,23.64,21.73,14.44,0.71,54.90,1
486,4.35,1.92,3817,4274,458,Car,1,410.06,18.69,28.19,22.44,11.05,0.57,6.64,0
487,4.14,1.92,3827,4175,349,Car,2,407.95,28.41,29.67,29.32,35.78,1.21,26.06,1
488,4.45,1.92,3837,4336,500,Car,1,411.56,19.81,21.63,20.63,11.79,0.54,35.00,0
489,7.38,2.32,3849,4301,453,Car,1,383.94,20.20,22.95,21.25,6.28,0.28,19.82,0
490,4.55,1.92,3859,4214,356,Car,2,408.10,27.60,30.03,28.75,36.09,1.27,58.67,0
491,4.45,2.02,3859,4363,505,Car,1,410.53,19.79,21.36,20.37,12.98,0.63,45.25,0
492,4.65,2.02,3861,4311,451,Car,1,410.14,20.04,26.98,22.80,25.01,1.24,14.54,0
493,3.94,1.82,3867,4358,492,Car,1,409.95,19.37,22.10,20.88,26.49,1.33,12.87,0
494,5.05,2.22,3873,4381,509,Car,1,410.55,18.91,21.94,20.21,4.88,0.24,10.87,0
495,4.65,1.82,3889,4216,328,Car,2,407.64,29.85,32.12,31.18,62.24,2.00,18.67,0
496,4.24,1.82,3896,4339,444,Car,1,410.08,19.91,27.56,23.15,17.42,0.80,12.86,0
497,4.45,2.02,3909,4355,447,Car,1,409.78,19.36,27.15,22.97,6.61,0.32,10.15,0
498,6.27,2.32,3913,4262,350,Car,2,408.47,27.65,30.63,29.28,52.58,1.72,81.02,0
499,4.65,1.92,3916,4244,329,Car,2,407.85,28.44,32.52,31.10,25.74,0.83,34.85,0
500,4.85,2.02,3926,4425,500,Car,1,410.04,19.26,21.63,20.55,30.22,1.54,22.33,0
501,5.96,2.32,3934,4381,448,Car,1,410.48,19.73,27.11,22.96,14.24,0.71,19.58,0
502,4.65,1.92,3946,4409,464,Car,1,411.27,19.43,24.82,22.22,9.05,0.38,3.33,1
503,16.57,2.50,3974,4409,436,Truck,2,406.03,22.42,24.54,23.34,206.02,9.18,-1.00,0
504,4.85,1.82,3975,4334,360,Car,2,408.92,28.22,28.89,28.49,63.27,2.20,62.61,0
505,4.45,1.92,3990,4440,451,Car,1,410.75,19.40,27.30,22.83,19.40,0.97,10.37,0
506,3.64,1.82,4004,4317,314,Car,2,409.55,31.84,33.99,32.73,91.85,2.87,26.12,0
507,3.74,1.82,4009,4464,456,Car,1,410.22,19.46,26.22,22.55,24.91,1.23,9.38,0
508,4.24,1.82,4019,4376,358,Car,2,408.66,27.71,29.29,28.63,43.45,1.51,43.40,0
509,4.75,2.02,4024,4490,467,Car,1,410.39,18.76,25.19,22.03,10.90,0.43,11.45,0
510,4.24,1.82,4025,4476,452,Car,1,410.52,19.30,27.30,22.77,22.85,1.14,21.56,0
511,4.24,2.02,4026,4435,410,Car,1,409.78,23.01,27.37,25.05,67.89,2.87,15.99,0
512,16.67,2.50,4027,4455,429,Truck,2,406.26,22.84,24.49,23.74,29.30,1.19,95.62,0
513,3.94,1.82,4030,4342,313,Car,2,407.56,31.67,34.01,32.67,25.82,0.80,23.91,0
514,4.24,1.82,4051,4507,457,Car,1,409.13,19.61,27.03,22.44,20.16,0.82,28.84,0
515,4.35,1.72,4055,4383,329,Car,2,408.92,30.03,31.71,31.18,29.72,0.99,-1.00,0
516,3.64,1.92,4069,4479,411,Car,1,409.63,21.71,29.64,24.98,29.98,1.23,14.63,0
517,19.71,2.50,4069,4502,434,Truck,2,407.46,22.64,25.40,23.53,18.62,0.81,43.63,0
518,3.64,1.82,4079,4409,331,Car,2,409.20,30.20,31.79,31.02,25.04,0.83,107.40,0
519,4.24,1.92,4097,4512,416,Car,1,410.67,22.07,27.31,24.75,24.87,1.08,20.53,0
520,4.35,1.92,4111,4530,420,Car,1,410.45,20.17,31.96,24.51,14.85,0.71,6.46,0
521,6.06,2.32,4129,4538,410,Car,1,410.18,20.71,29.69,25.08,34.38,1.60,10.87,0
522,4.95,2.02,4136,4444,309,Car,2,407.70,32.05,34.15,33.11,42.80,1.25,18.09,0
523,3.84,1.82,4137,4480,344,Car,2,408.30,28.81,30.74,29.77,123.54,4.11,105.73,0
524,3.74,1.92,4147,4581,435,Car,1,410.89,18.51,31.23,23.68,28.15,1.25,12.95,0
